group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,0.024654558,0.009485179,0.996,0.004,0.004,0.004,True,Olig2,21
Medium Spiny Neurons,-0.013990335,0.0123312315,0.125,0.875,0.125,0.0645,False,Olig2,21
Oligodendrocyte Precursor Cells,0.010394102,0.012278014,0.796,0.204,0.204,0.11099999999999999,False,Olig2,21
Neurons,0.008432683,0.01416782,0.726,0.274,0.274,0.15175,False,Olig2,21
Neural Stem Cells,0.009617078,0.018161148,0.701,0.299,0.299,0.18119999999999997,False,Olig2,21
Myocytes,0.013267201,0.024698175,0.694,0.306,0.306,0.20199999999999999,False,Olig2,21
Excitatory Neurons,0.0044196504,0.012302291,0.639,0.361,0.361,0.2247142857142857,False,Olig2,21
Endothelial Cells,-0.008731505,0.031227611,0.395,0.605,0.395,0.246,False,Olig2,21
Endocrine Cells,0.0065086093,0.0310493,0.592,0.408,0.408,0.264,False,Olig2,21
Microglia,-0.0037467503,0.017971663,0.411,0.589,0.411,0.2787,False,Olig2,21
Astrocytes,-0.0026907774,0.016131667,0.45,0.55,0.45,0.2942727272727273,False,Olig2,21
GABAergic Neurons,-0.0024375094,0.018946014,0.471,0.529,0.471,0.309,False,Olig2,21
