group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Neurons,0.022850946,0.014071995,0.946,0.054,0.054,0.054,False,Pdyn,21
Oligodendrocyte Precursor Cells,0.014842898,0.011590171,0.901,0.099,0.099,0.0765,False,Pdyn,21
Medium Spiny Neurons,0.013620047,0.011437038,0.894,0.106,0.106,0.08633333333333333,False,Pdyn,21
Myocytes,0.017629625,0.024699103,0.749,0.251,0.251,0.1275,False,Pdyn,21
Excitatory Neurons,0.0056910473,0.012317375,0.673,0.327,0.327,0.1674,False,Pdyn,21
Neural Stem Cells,0.0075374716,0.018328983,0.658,0.342,0.342,0.1965,False,Pdyn,21
Astrocytes,0.0038330143,0.016018772,0.622,0.378,0.378,0.22242857142857142,False,Pdyn,21
GABAergic Neurons,0.004095109,0.01940246,0.596,0.404,0.404,0.24512499999999998,False,Pdyn,21
Endothelial Cells,-0.006611857,0.031259052,0.418,0.582,0.418,0.2643333333333333,False,Pdyn,21
Endocrine Cells,0.0028738892,0.031090522,0.541,0.459,0.459,0.2838,False,Pdyn,21
Microglia,-0.00062132836,0.017981242,0.473,0.527,0.473,0.301,False,Pdyn,21
Oligodendrocytes,-0.00039580849,0.010692725,0.494,0.506,0.494,0.31708333333333333,False,Pdyn,21
