group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Neurons,0.024103213,0.013820088,0.959,0.041,0.041,0.041,True,Peg10,21
Endocrine Cells,-0.04172887,0.031119661,0.082,0.918,0.082,0.0615,False,Peg10,21
Oligodendrocyte Precursor Cells,0.015232263,0.011677411,0.903,0.097,0.097,0.07333333333333333,False,Peg10,21
Medium Spiny Neurons,-0.009642878,0.012304004,0.223,0.777,0.223,0.11075,False,Peg10,21
Myocytes,0.017656734,0.024722796,0.749,0.251,0.251,0.13879999999999998,False,Peg10,21
Neural Stem Cells,0.0111842835,0.018034019,0.73,0.27,0.27,0.16066666666666665,False,Peg10,21
Excitatory Neurons,0.0045798207,0.012320993,0.642,0.358,0.358,0.18885714285714286,False,Peg10,21
Oligodendrocytes,0.003288711,0.010605109,0.625,0.375,0.375,0.212125,False,Peg10,21
Astrocytes,0.0028379918,0.016060717,0.593,0.407,0.407,0.23377777777777778,False,Peg10,21
Endothelial Cells,-0.0063572605,0.03123007,0.423,0.577,0.423,0.25270000000000004,False,Peg10,21
GABAergic Neurons,-0.0017686251,0.019117689,0.485,0.515,0.485,0.2738181818181818,False,Peg10,21
Microglia,0.00084269483,0.018020276,0.498,0.502,0.498,0.2925,False,Peg10,21
