group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.052027125,0.01057171,0.0,1.0,0.0,0.0,True,Scn4b,21
Myocytes,-0.12511344,0.02487209,0.0,1.0,0.0,0.0,True,Scn4b,21
Oligodendrocyte Precursor Cells,0.00867418,0.011628142,0.767,0.233,0.233,0.07766666666666668,False,Scn4b,21
Neurons,0.0077063455,0.014119123,0.709,0.291,0.291,0.131,False,Scn4b,21
Endocrine Cells,0.015627166,0.031078221,0.701,0.299,0.299,0.1646,False,Scn4b,21
Neural Stem Cells,0.0071160635,0.018308094,0.651,0.349,0.349,0.19533333333333333,False,Scn4b,21
Microglia,-0.006419144,0.017968744,0.36,0.64,0.36,0.21885714285714286,False,Scn4b,21
Endothelial Cells,-0.009401339,0.031220838,0.39,0.61,0.39,0.24025000000000002,False,Scn4b,21
Oligodendrocytes,-0.003735958,0.010640754,0.394,0.606,0.394,0.25733333333333336,False,Scn4b,21
GABAergic Neurons,-0.004724997,0.019173782,0.414,0.586,0.414,0.273,False,Scn4b,21
Excitatory Neurons,0.0021410107,0.012444198,0.567,0.433,0.433,0.28754545454545455,False,Scn4b,21
Astrocytes,0.0011597344,0.016027596,0.55,0.45,0.45,0.30108333333333337,False,Scn4b,21
