group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Microglia,-0.03400814,0.021860097,0.065,0.935,0.065,0.065,False,Selplg,21
Medium Spiny Neurons,-0.014086285,0.0123461075,0.124,0.876,0.124,0.0945,False,Selplg,21
Oligodendrocyte Precursor Cells,0.011534406,0.011572261,0.834,0.166,0.166,0.11833333333333333,False,Selplg,21
Neurons,0.009077224,0.0141966045,0.738,0.262,0.262,0.15425,False,Selplg,21
Neural Stem Cells,0.009215659,0.01831119,0.693,0.307,0.307,0.1848,False,Selplg,21
Excitatory Neurons,0.0043329783,0.0122951595,0.637,0.363,0.363,0.2145,False,Selplg,21
Endothelial Cells,-0.009127946,0.031225853,0.393,0.607,0.393,0.24,False,Selplg,21
Myocytes,0.00638779,0.024676248,0.602,0.398,0.398,0.25975,False,Selplg,21
Endocrine Cells,0.00626307,0.03107044,0.588,0.412,0.412,0.2766666666666666,False,Selplg,21
Astrocytes,0.0020192938,0.01601843,0.57,0.43,0.43,0.292,False,Selplg,21
Oligodendrocytes,-0.0022712226,0.010680685,0.437,0.563,0.437,0.30518181818181817,False,Selplg,21
GABAergic Neurons,-0.0019187332,0.018925166,0.479,0.521,0.479,0.31966666666666665,False,Selplg,21
