group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.013556058,0.012366464,0.13,0.87,0.13,0.13,False,Serpine1,21
Oligodendrocyte Precursor Cells,0.012339415,0.011530261,0.853,0.147,0.147,0.1385,False,Serpine1,21
Neurons,0.009083392,0.014205478,0.738,0.262,0.262,0.17966666666666667,False,Serpine1,21
Neural Stem Cells,0.009367486,0.018363705,0.693,0.307,0.307,0.21150000000000002,False,Serpine1,21
Excitatory Neurons,0.0045599067,0.012282651,0.642,0.358,0.358,0.24080000000000004,False,Serpine1,21
Myocytes,0.0083366465,0.024661725,0.632,0.368,0.368,0.262,False,Serpine1,21
Endothelial Cells,-0.00771326,0.031274714,0.405,0.595,0.405,0.2824285714285714,False,Serpine1,21
Endocrine Cells,0.0064487257,0.03106487,0.592,0.408,0.408,0.29812500000000003,False,Serpine1,21
Astrocytes,0.0023353614,0.015979337,0.577,0.423,0.423,0.31200000000000006,False,Serpine1,21
Microglia,-0.001957068,0.017953195,0.448,0.552,0.448,0.3256,False,Serpine1,21
Oligodendrocytes,-0.0014678256,0.010716447,0.461,0.539,0.461,0.33790909090909094,False,Serpine1,21
GABAergic Neurons,-0.002232948,0.018902736,0.475,0.525,0.475,0.34933333333333333,False,Serpine1,21
