group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endothelial Cells,0.03536349,0.029650312,0.883,0.117,0.117,0.117,False,Slc2a1,21
Oligodendrocyte Precursor Cells,0.012354098,0.011642363,0.852,0.148,0.148,0.1325,False,Slc2a1,21
Medium Spiny Neurons,-0.010908379,0.012291065,0.193,0.807,0.193,0.15266666666666667,False,Slc2a1,21
Neural Stem Cells,0.0111545045,0.018136559,0.727,0.273,0.273,0.18275000000000002,False,Slc2a1,21
Neurons,0.008435939,0.014167462,0.726,0.274,0.274,0.201,False,Slc2a1,21
Endocrine Cells,0.017468482,0.031200482,0.723,0.277,0.277,0.21366666666666667,False,Slc2a1,21
Excitatory Neurons,0.005000638,0.012317489,0.654,0.346,0.346,0.2325714285714286,False,Slc2a1,21
Myocytes,0.004716494,0.024663132,0.58,0.42,0.42,0.256,False,Slc2a1,21
Oligodendrocytes,-0.0026514737,0.010585312,0.424,0.576,0.424,0.27466666666666667,False,Slc2a1,21
GABAergic Neurons,-0.0026699228,0.018950932,0.465,0.535,0.465,0.29369999999999996,False,Slc2a1,21
Astrocytes,0.00046948792,0.016360404,0.532,0.468,0.468,0.3095454545454545,False,Slc2a1,21
Microglia,-0.00080931146,0.018018987,0.468,0.532,0.468,0.32275,False,Slc2a1,21
