group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,-0.12845907,0.025120033,0.0,1.0,0.0,0.0,True,Tsc22d3,21
Neural Stem Cells,0.052237667,0.017390184,1.0,0.0,0.0,0.0,True,Tsc22d3,21
Astrocytes,0.047239847,0.017338803,0.99,0.01,0.01,0.0033333333333333335,True,Tsc22d3,21
Endothelial Cells,0.046898354,0.03019824,0.943,0.057,0.057,0.01675,True,Tsc22d3,21
Oligodendrocyte Precursor Cells,0.01570203,0.011780318,0.907,0.093,0.093,0.032,True,Tsc22d3,21
Endocrine Cells,0.030273022,0.031594586,0.821,0.179,0.179,0.056499999999999995,False,Tsc22d3,21
Medium Spiny Neurons,-0.008303022,0.012226765,0.258,0.742,0.258,0.08528571428571428,False,Tsc22d3,21
Microglia,0.009018771,0.01828584,0.691,0.309,0.309,0.11324999999999999,False,Tsc22d3,21
Neurons,0.0060938406,0.013898662,0.673,0.327,0.327,0.13699999999999998,False,Tsc22d3,21
Excitatory Neurons,0.00412315,0.012488851,0.626,0.374,0.374,0.16069999999999998,False,Tsc22d3,21
Oligodendrocytes,0.0013398665,0.010043797,0.567,0.433,0.433,0.18545454545454543,False,Tsc22d3,21
GABAergic Neurons,0.00023795251,0.019369623,0.523,0.477,0.477,0.20974999999999996,False,Tsc22d3,21
