group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.0480508,0.024819002,0.973,0.027,0.027,0.027,True,Tubb2b,21
Oligodendrocyte Precursor Cells,0.018429806,0.011851303,0.942,0.058,0.058,0.0425,True,Tubb2b,21
Medium Spiny Neurons,-0.015042775,0.012290731,0.105,0.895,0.105,0.06333333333333334,False,Tubb2b,21
Neurons,0.008965982,0.014079556,0.735,0.265,0.265,0.11375,False,Tubb2b,21
Excitatory Neurons,0.0047020786,0.0123624895,0.649,0.351,0.351,0.1612,False,Tubb2b,21
Endocrine Cells,0.010391209,0.031098418,0.641,0.359,0.359,0.19416666666666668,False,Tubb2b,21
Astrocytes,0.004569177,0.016509928,0.635,0.365,0.365,0.21857142857142858,False,Tubb2b,21
Endothelial Cells,-0.0070373975,0.031095529,0.41,0.59,0.41,0.2425,False,Tubb2b,21
Neural Stem Cells,0.0029055118,0.01719724,0.572,0.428,0.428,0.2631111111111111,False,Tubb2b,21
Microglia,-0.002309825,0.018056042,0.436,0.564,0.436,0.2804,False,Tubb2b,21
GABAergic Neurons,-0.002759465,0.019048518,0.463,0.537,0.463,0.297,False,Tubb2b,21
Oligodendrocytes,-0.00083175214,0.01061622,0.479,0.521,0.479,0.31216666666666665,False,Tubb2b,21
