group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Neural Stem Cells,0.041450817,0.01778673,0.995,0.005,0.005,0.005,True,Vegfa,21
Oligodendrocyte Precursor Cells,0.030332303,0.011859925,0.995,0.005,0.005,0.005,True,Vegfa,21
Medium Spiny Neurons,-0.012828666,0.0122771105,0.143,0.857,0.143,0.051,False,Vegfa,21
Oligodendrocytes,0.0060082627,0.0105842715,0.712,0.288,0.288,0.11024999999999999,False,Vegfa,21
Neurons,0.0071564955,0.014111574,0.697,0.303,0.303,0.1488,False,Vegfa,21
Myocytes,0.013175778,0.024947438,0.692,0.308,0.308,0.17533333333333334,False,Vegfa,21
Astrocytes,0.006371045,0.016736286,0.665,0.335,0.335,0.19814285714285715,False,Vegfa,21
Endocrine Cells,0.011081253,0.031163562,0.647,0.353,0.353,0.2175,False,Vegfa,21
Excitatory Neurons,0.004447904,0.012343669,0.639,0.361,0.361,0.23344444444444445,False,Vegfa,21
Endothelial Cells,-0.009068355,0.03120354,0.394,0.606,0.394,0.2495,False,Vegfa,21
Microglia,-0.0012158285,0.01798522,0.463,0.537,0.463,0.26890909090909093,False,Vegfa,21
GABAergic Neurons,-0.002141656,0.019069614,0.476,0.524,0.476,0.2861666666666667,False,Vegfa,21
