group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.009547326,0.009706411,0.16,0.84,0.16,0.16,False,A2m,60
Oligodendrocytes,-0.009233741,0.009687487,0.161,0.839,0.161,0.1605,False,A2m,60
Oligodendrocyte Precursor Cells,0.011036589,0.012047325,0.818,0.182,0.182,0.16766666666666666,False,A2m,60
Neurons,0.009835623,0.011900191,0.795,0.205,0.205,0.177,False,A2m,60
Astrocytes,0.009757543,0.01715747,0.731,0.269,0.269,0.1954,False,A2m,60
Myocytes,0.0075010243,0.02268736,0.629,0.371,0.371,0.22466666666666665,False,A2m,60
Excitatory Neurons,0.0033768867,0.013198063,0.596,0.404,0.404,0.2502857142857143,False,A2m,60
Endothelial Cells,-0.007246832,0.030278722,0.407,0.593,0.407,0.269875,False,A2m,60
Neural Stem Cells,-0.0037739726,0.020409692,0.418,0.582,0.418,0.28633333333333333,False,A2m,60
Endocrine Cells,-0.011567512,0.057451,0.423,0.577,0.423,0.3,False,A2m,60
Microglia,-0.0007170387,0.017754154,0.47,0.53,0.47,0.31545454545454543,False,A2m,60
GABAergic Neurons,-0.00075983873,0.020395922,0.505,0.495,0.495,0.33041666666666664,False,A2m,60
