group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.011050299,0.009778108,0.125,0.875,0.125,0.125,False,Aatf,60
Oligodendrocytes,-0.010444499,0.009738115,0.134,0.866,0.134,0.1295,False,Aatf,60
Myocytes,0.023528287,0.022720585,0.848,0.152,0.152,0.137,False,Aatf,60
Oligodendrocyte Precursor Cells,0.008795609,0.012065016,0.762,0.238,0.238,0.16225,False,Aatf,60
Neurons,0.007450206,0.011857041,0.732,0.268,0.268,0.1834,False,Aatf,60
Neural Stem Cells,0.005741373,0.02033478,0.619,0.381,0.381,0.21633333333333335,False,Aatf,60
Endothelial Cells,-0.008423306,0.03042506,0.395,0.605,0.395,0.24185714285714285,False,Aatf,60
Microglia,-0.0035481858,0.017806644,0.415,0.585,0.415,0.2635,False,Aatf,60
Excitatory Neurons,0.0026043842,0.013271645,0.576,0.424,0.424,0.2813333333333333,False,Aatf,60
Astrocytes,0.0006517367,0.017034505,0.54,0.46,0.46,0.2992,False,Aatf,60
Endocrine Cells,0.0036691607,0.05744997,0.535,0.465,0.465,0.31427272727272726,False,Aatf,60
GABAergic Neurons,-0.0020147464,0.020496594,0.482,0.518,0.482,0.32825,False,Aatf,60
