group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.012877477,0.009868842,0.087,0.913,0.087,0.087,False,Abca3,60
Oligodendrocytes,-0.012331496,0.009759551,0.091,0.909,0.091,0.089,False,Abca3,60
Myocytes,0.018926764,0.022801388,0.785,0.215,0.215,0.131,False,Abca3,60
Oligodendrocyte Precursor Cells,0.0075457124,0.012081475,0.733,0.267,0.267,0.165,False,Abca3,60
Neurons,0.006649212,0.011710867,0.718,0.282,0.282,0.18839999999999998,False,Abca3,60
Neural Stem Cells,-0.008862187,0.020292962,0.321,0.679,0.321,0.2105,False,Abca3,60
Endothelial Cells,-0.009800967,0.030315684,0.383,0.617,0.383,0.23514285714285713,False,Abca3,60
Endocrine Cells,-0.010198049,0.05745574,0.433,0.567,0.433,0.25987499999999997,False,Abca3,60
Microglia,-0.002207795,0.017891498,0.44,0.56,0.44,0.27988888888888885,False,Abca3,60
Excitatory Neurons,0.00094835606,0.013429998,0.53,0.47,0.47,0.2989,False,Abca3,60
GABAergic Neurons,-0.0025098834,0.020721028,0.473,0.527,0.473,0.3147272727272727,False,Abca3,60
Astrocytes,0.00027234782,0.017114427,0.525,0.475,0.475,0.32808333333333334,False,Abca3,60
