group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,-0.013749229,0.00967822,0.067,0.933,0.067,0.067,False,Abca8a,60
Medium Spiny Neurons,-0.010561319,0.009711,0.132,0.868,0.132,0.0995,False,Abca8a,60
Neural Stem Cells,-0.015465556,0.020469481,0.223,0.777,0.223,0.1406666666666667,False,Abca8a,60
Oligodendrocyte Precursor Cells,0.009311905,0.012050349,0.773,0.227,0.227,0.16225,False,Abca8a,60
Neurons,0.008513115,0.01192483,0.763,0.237,0.237,0.1772,False,Abca8a,60
Myocytes,0.008211249,0.022686888,0.636,0.364,0.364,0.20833333333333334,False,Abca8a,60
Microglia,-0.0047420617,0.017702725,0.386,0.614,0.386,0.23371428571428574,False,Abca8a,60
Endothelial Cells,-0.0081279855,0.03042506,0.399,0.601,0.399,0.254375,False,Abca8a,60
Excitatory Neurons,0.003461138,0.013200628,0.598,0.402,0.402,0.2707777777777778,False,Abca8a,60
Astrocytes,0.0010129453,0.016999118,0.545,0.455,0.455,0.2892,False,Abca8a,60
Endocrine Cells,0.0020419387,0.05744792,0.524,0.476,0.476,0.3061818181818182,False,Abca8a,60
GABAergic Neurons,-0.0012212035,0.020395922,0.498,0.502,0.498,0.3221666666666667,False,Abca8a,60
