group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,-0.011792622,0.0096731195,0.098,0.902,0.098,0.098,False,Abcb4,60
Medium Spiny Neurons,-0.011231391,0.009715708,0.12,0.88,0.12,0.109,False,Abcb4,60
Oligodendrocyte Precursor Cells,0.0088087255,0.012059087,0.762,0.238,0.238,0.152,False,Abcb4,60
Neurons,0.008131855,0.011923396,0.757,0.243,0.243,0.17475,False,Abcb4,60
Microglia,-0.006721646,0.017729275,0.355,0.645,0.355,0.21079999999999996,False,Abcb4,60
Endothelial Cells,-0.008572894,0.030486003,0.395,0.605,0.395,0.24149999999999996,False,Abcb4,60
Endocrine Cells,0.0120319,0.05744826,0.592,0.408,0.408,0.26528571428571424,False,Abcb4,60
Excitatory Neurons,0.0027184188,0.013205998,0.581,0.419,0.419,0.2845,False,Abcb4,60
Myocytes,-0.0041161017,0.022692995,0.441,0.559,0.441,0.3018888888888889,False,Abcb4,60
Astrocytes,0.00089374545,0.016994078,0.543,0.457,0.457,0.31739999999999996,False,Abcb4,60
GABAergic Neurons,-0.0016888642,0.020404775,0.491,0.509,0.491,0.33318181818181813,False,Abcb4,60
Neural Stem Cells,0.00023587106,0.020508671,0.502,0.498,0.498,0.3469166666666666,False,Abcb4,60
