group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,0.3695101,0.058209103,1.0,0.0,0.0,0.0,True,Abcc8,60
Oligodendrocytes,-0.011817377,0.009677524,0.098,0.902,0.098,0.049,True,Abcc8,60
Medium Spiny Neurons,-0.0103078615,0.009744726,0.141,0.859,0.141,0.07966666666666666,False,Abcc8,60
Oligodendrocyte Precursor Cells,0.009122317,0.012052706,0.769,0.231,0.231,0.1175,False,Abcc8,60
Neurons,0.0075069377,0.011892499,0.733,0.267,0.267,0.1474,False,Abcc8,60
Myocytes,0.008721009,0.022687247,0.644,0.356,0.356,0.18216666666666667,False,Abcc8,60
Endothelial Cells,-0.008474014,0.030484715,0.395,0.605,0.395,0.21257142857142858,False,Abcc8,60
Microglia,-0.0042870273,0.01771466,0.398,0.602,0.398,0.23575000000000002,False,Abcc8,60
Neural Stem Cells,0.0037455414,0.020484144,0.576,0.424,0.424,0.25666666666666665,False,Abcc8,60
Astrocytes,0.00086139457,0.016992703,0.543,0.457,0.457,0.2767,False,Abcc8,60
Excitatory Neurons,0.0011671772,0.01329921,0.535,0.465,0.465,0.2938181818181818,False,Abcc8,60
GABAergic Neurons,-0.0012002706,0.020449195,0.499,0.501,0.499,0.3109166666666667,False,Abcc8,60
