group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,-0.010848092,0.00971483,0.123,0.877,0.123,0.123,False,Abitram,60
Medium Spiny Neurons,-0.010740025,0.009808047,0.13,0.87,0.13,0.1265,False,Abitram,60
Oligodendrocyte Precursor Cells,0.009891904,0.012059312,0.789,0.211,0.211,0.15466666666666665,False,Abitram,60
Neurons,0.007764943,0.011863535,0.741,0.259,0.259,0.18075,False,Abitram,60
Myocytes,0.008586489,0.022688182,0.644,0.356,0.356,0.2158,False,Abitram,60
Microglia,-0.004696937,0.017755097,0.386,0.614,0.386,0.24416666666666664,False,Abitram,60
Endothelial Cells,-0.008201912,0.030432893,0.399,0.601,0.399,0.2662857142857143,False,Abitram,60
Excitatory Neurons,0.0032332502,0.01327795,0.591,0.409,0.409,0.28412499999999996,False,Abitram,60
Astrocytes,0.0011748767,0.01703439,0.549,0.451,0.451,0.30266666666666664,False,Abitram,60
Endocrine Cells,0.007089779,0.057450213,0.548,0.452,0.452,0.3176,False,Abitram,60
Neural Stem Cells,0.0016979668,0.020417558,0.532,0.468,0.468,0.3312727272727272,False,Abitram,60
GABAergic Neurons,-0.001722625,0.020495886,0.491,0.509,0.491,0.3445833333333333,False,Abitram,60
