group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,-0.011642976,0.009674855,0.106,0.894,0.106,0.106,False,Abracl,60
Medium Spiny Neurons,-0.0112222675,0.009724081,0.12,0.88,0.12,0.11299999999999999,False,Abracl,60
Oligodendrocyte Precursor Cells,0.009270226,0.012052141,0.771,0.229,0.229,0.15166666666666664,False,Abracl,60
Neurons,0.008302412,0.011918586,0.757,0.243,0.243,0.1745,False,Abracl,60
Myocytes,0.008528551,0.022687001,0.644,0.356,0.356,0.21079999999999996,False,Abracl,60
Neural Stem Cells,0.0074303877,0.020436611,0.642,0.358,0.358,0.2353333333333333,False,Abracl,60
Endothelial Cells,-0.008244941,0.030469853,0.399,0.601,0.399,0.25871428571428573,False,Abracl,60
Endocrine Cells,0.011852455,0.057447813,0.591,0.409,0.409,0.27749999999999997,False,Abracl,60
Excitatory Neurons,0.0030090483,0.013221302,0.586,0.414,0.414,0.29266666666666663,False,Abracl,60
Microglia,-0.0034486987,0.017734526,0.419,0.581,0.419,0.3053,False,Abracl,60
Astrocytes,0.0009324946,0.01699384,0.543,0.457,0.457,0.3190909090909091,False,Abracl,60
GABAergic Neurons,-0.0015238377,0.02040681,0.493,0.507,0.493,0.33358333333333334,False,Abracl,60
