group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.027409734,0.022711786,0.885,0.115,0.115,0.115,False,Abraxas2,60
Medium Spiny Neurons,-0.011353847,0.009788436,0.118,0.882,0.118,0.11649999999999999,False,Abraxas2,60
Oligodendrocytes,-0.010834306,0.009714713,0.124,0.876,0.124,0.119,False,Abraxas2,60
Oligodendrocyte Precursor Cells,0.008955174,0.012062443,0.766,0.234,0.234,0.14775,False,Abraxas2,60
Neurons,0.008081221,0.011845626,0.757,0.243,0.243,0.1668,False,Abraxas2,60
Microglia,-0.0046661412,0.017830485,0.386,0.614,0.386,0.20333333333333334,False,Abraxas2,60
Endothelial Cells,-0.0086298,0.030396506,0.395,0.605,0.395,0.2307142857142857,False,Abraxas2,60
Neural Stem Cells,0.0046787327,0.020362653,0.594,0.406,0.406,0.252625,False,Abraxas2,60
Excitatory Neurons,0.0029633183,0.013277134,0.586,0.414,0.414,0.27055555555555555,False,Abraxas2,60
Endocrine Cells,0.0035822997,0.057451565,0.531,0.469,0.469,0.2904,False,Abraxas2,60
GABAergic Neurons,-0.0021583643,0.020517306,0.479,0.521,0.479,0.30754545454545457,False,Abraxas2,60
Astrocytes,-6.128162e-05,0.017045487,0.517,0.483,0.483,0.32216666666666666,False,Abraxas2,60
