group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,-0.018436922,0.00984921,0.028,0.972,0.028,0.028,True,Adcy1,60
Neurons,0.014715411,0.011621422,0.9,0.1,0.1,0.064,False,Adcy1,60
Medium Spiny Neurons,-0.009636027,0.009904056,0.163,0.837,0.163,0.09700000000000002,False,Adcy1,60
Neural Stem Cells,0.017541049,0.020204807,0.799,0.201,0.201,0.12300000000000001,False,Adcy1,60
Oligodendrocyte Precursor Cells,0.008522663,0.012086068,0.757,0.243,0.243,0.14700000000000002,False,Adcy1,60
Microglia,-0.008878593,0.018136894,0.322,0.678,0.322,0.1761666666666667,False,Adcy1,60
Excitatory Neurons,0.0054224753,0.0142484475,0.649,0.351,0.351,0.20114285714285715,False,Adcy1,60
Endothelial Cells,-0.010977367,0.03013201,0.361,0.639,0.361,0.22112500000000002,False,Adcy1,60
Endocrine Cells,0.017005851,0.057463568,0.619,0.381,0.381,0.23888888888888893,False,Adcy1,60
Myocytes,0.0061082006,0.022716708,0.602,0.398,0.398,0.2548,False,Adcy1,60
GABAergic Neurons,-0.0002775828,0.021341529,0.51,0.49,0.49,0.2761818181818182,False,Adcy1,60
Astrocytes,-0.0005076577,0.01720773,0.509,0.491,0.491,0.29408333333333336,False,Adcy1,60
