group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.040822502,0.0097703105,0.0,1.0,0.0,0.0,True,Adora2a,60
Oligodendrocytes,-0.011374436,0.009685981,0.112,0.888,0.112,0.056,False,Adora2a,60
Oligodendrocyte Precursor Cells,0.009671609,0.012052485,0.784,0.216,0.216,0.10933333333333334,False,Adora2a,60
Neurons,0.008499927,0.011927604,0.763,0.237,0.237,0.14125,False,Adora2a,60
Myocytes,0.008370706,0.022696523,0.64,0.36,0.36,0.185,False,Adora2a,60
Endothelial Cells,-0.008718125,0.030422606,0.395,0.605,0.395,0.21999999999999997,False,Adora2a,60
Neural Stem Cells,0.0050036088,0.02047771,0.599,0.401,0.401,0.24585714285714283,False,Adora2a,60
Endocrine Cells,0.011921884,0.05744713,0.592,0.408,0.408,0.266125,False,Adora2a,60
Excitatory Neurons,0.0032306379,0.0131987585,0.591,0.409,0.409,0.282,False,Adora2a,60
Microglia,-0.0033167046,0.017728802,0.421,0.579,0.421,0.29589999999999994,False,Adora2a,60
Astrocytes,0.0009063938,0.017000603,0.543,0.457,0.457,0.3105454545454545,False,Adora2a,60
GABAergic Neurons,0.0013266572,0.020500313,0.541,0.459,0.459,0.32291666666666663,False,Adora2a,60
