group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,-0.02753168,0.010288136,0.005,0.995,0.005,0.005,True,Agpat4,60
Myocytes,0.03868288,0.022752523,0.959,0.041,0.041,0.023,True,Agpat4,60
Medium Spiny Neurons,-0.010646404,0.009774785,0.13,0.87,0.13,0.058666666666666666,False,Agpat4,60
Oligodendrocyte Precursor Cells,0.007470844,0.01207778,0.731,0.269,0.269,0.11125,False,Agpat4,60
Neurons,0.004406788,0.01175499,0.658,0.342,0.342,0.1574,False,Agpat4,60
Microglia,-0.0051241354,0.017787816,0.379,0.621,0.379,0.19433333333333333,False,Agpat4,60
Endocrine Cells,-0.019590506,0.05745972,0.382,0.618,0.382,0.22114285714285714,False,Agpat4,60
Endothelial Cells,-0.007697804,0.03031182,0.402,0.598,0.402,0.24375000000000002,False,Agpat4,60
Excitatory Neurons,0.003187272,0.013442956,0.59,0.41,0.41,0.26222222222222225,False,Agpat4,60
Neural Stem Cells,-0.0023026876,0.020171095,0.445,0.555,0.445,0.2805,False,Agpat4,60
Astrocytes,0.00073831494,0.017100908,0.542,0.458,0.458,0.29663636363636364,False,Agpat4,60
GABAergic Neurons,-0.0029142632,0.020677345,0.465,0.535,0.465,0.3106666666666667,False,Agpat4,60
