group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,-0.06593449,0.022872662,0.0,1.0,0.0,0.0,True,Car2,60
Neurons,0.03444549,0.011446591,0.999,0.001,0.001,0.0005,True,Car2,60
Neural Stem Cells,0.043637976,0.019631486,0.992,0.008,0.008,0.0030000000000000005,True,Car2,60
Oligodendrocytes,0.02839781,0.013753035,0.978,0.022,0.022,0.00775,True,Car2,60
Medium Spiny Neurons,0.017119294,0.009513203,0.958,0.042,0.042,0.014600000000000002,True,Car2,60
Oligodendrocyte Precursor Cells,0.017005818,0.012052262,0.921,0.079,0.079,0.025333333333333336,True,Car2,60
Endocrine Cells,-0.047879253,0.057438347,0.206,0.794,0.206,0.05114285714285714,False,Car2,60
Excitatory Neurons,0.009210077,0.01369608,0.749,0.251,0.251,0.076125,False,Car2,60
Endothelial Cells,-0.010391572,0.028643813,0.361,0.639,0.361,0.10777777777777778,False,Car2,60
GABAergic Neurons,0.0056507653,0.0212158,0.617,0.383,0.383,0.1353,False,Car2,60
Astrocytes,0.0025550865,0.018168239,0.574,0.426,0.426,0.16172727272727272,False,Car2,60
Microglia,-0.0019105889,0.018653775,0.451,0.549,0.451,0.18583333333333332,False,Car2,60
