group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.045922622,0.022737276,0.985,0.015,0.015,0.015,True,Cd40,60
Medium Spiny Neurons,-0.010424354,0.0097049195,0.137,0.863,0.137,0.07600000000000001,False,Cd40,60
Oligodendrocyte Precursor Cells,0.009534207,0.012049687,0.777,0.223,0.223,0.125,False,Cd40,60
Neurons,0.008543652,0.011927237,0.763,0.237,0.237,0.153,False,Cd40,60
Oligodendrocytes,-0.0066011786,0.009695022,0.254,0.746,0.254,0.1732,False,Cd40,60
Neural Stem Cells,0.006626632,0.020474376,0.63,0.37,0.37,0.206,False,Cd40,60
Endothelial Cells,-0.008345887,0.0304556,0.398,0.602,0.398,0.2334285714285714,False,Cd40,60
Microglia,-0.0041295486,0.017704012,0.403,0.597,0.403,0.254625,False,Cd40,60
Excitatory Neurons,0.003346683,0.013197945,0.594,0.406,0.406,0.27144444444444443,False,Cd40,60
Endocrine Cells,0.011686601,0.0574485,0.59,0.41,0.41,0.2853,False,Cd40,60
Astrocytes,0.0013537175,0.016989613,0.554,0.446,0.446,0.29990909090909096,False,Cd40,60
GABAergic Neurons,-0.0014083305,0.020387417,0.496,0.504,0.496,0.31625000000000003,False,Cd40,60
