group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,-0.045715325,0.010235217,0.0,1.0,0.0,0.0,True,Cntn2,60
Medium Spiny Neurons,-0.013419044,0.009770083,0.076,0.924,0.076,0.038,True,Cntn2,60
Oligodendrocyte Precursor Cells,0.008620952,0.0120577505,0.76,0.24,0.24,0.10533333333333333,False,Cntn2,60
Neurons,0.0065820767,0.0118098,0.714,0.286,0.286,0.1505,False,Cntn2,60
Myocytes,0.007614729,0.02270005,0.632,0.368,0.368,0.194,False,Cntn2,60
Neural Stem Cells,0.0060495865,0.02036515,0.627,0.373,0.373,0.22383333333333333,False,Cntn2,60
Endothelial Cells,-0.01012813,0.030461546,0.38,0.62,0.38,0.24614285714285714,False,Cntn2,60
Microglia,-0.004974989,0.017747026,0.382,0.618,0.382,0.263125,False,Cntn2,60
Excitatory Neurons,0.002104362,0.013303292,0.567,0.433,0.433,0.282,False,Cntn2,60
Astrocytes,0.00037366446,0.01701766,0.527,0.473,0.473,0.3011,False,Cntn2,60
Endocrine Cells,-0.0038141194,0.057455625,0.481,0.519,0.481,0.31745454545454543,False,Cntn2,60
GABAergic Neurons,-0.00044664188,0.020554297,0.508,0.492,0.492,0.33199999999999996,False,Cntn2,60
