group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,-0.03410736,0.022726702,0.066,0.934,0.066,0.066,False,Ezr,60
Oligodendrocytes,-0.011659842,0.009695715,0.106,0.894,0.106,0.086,False,Ezr,60
Medium Spiny Neurons,-0.010682647,0.009761134,0.13,0.87,0.13,0.10066666666666667,False,Ezr,60
Neurons,0.009194595,0.011891662,0.778,0.222,0.222,0.131,False,Ezr,60
Oligodendrocyte Precursor Cells,0.009164834,0.012055282,0.769,0.231,0.231,0.151,False,Ezr,60
Neural Stem Cells,-0.00988731,0.020146187,0.305,0.695,0.305,0.17666666666666667,False,Ezr,60
Microglia,-0.004301999,0.017755916,0.398,0.602,0.398,0.20828571428571432,False,Ezr,60
Excitatory Neurons,0.0035821076,0.013234739,0.601,0.399,0.399,0.23212500000000003,False,Ezr,60
Endocrine Cells,-0.01179707,0.057453953,0.423,0.577,0.423,0.25333333333333335,False,Ezr,60
Endothelial Cells,-0.004605391,0.030278493,0.446,0.554,0.446,0.27260000000000006,False,Ezr,60
Astrocytes,-0.0027698074,0.017190443,0.453,0.547,0.453,0.28900000000000003,False,Ezr,60
GABAergic Neurons,-0.0023798163,0.020433985,0.476,0.524,0.476,0.3045833333333334,False,Ezr,60
