group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Astrocytes,-0.04978326,0.01880039,0.002,0.998,0.002,0.002,True,Fgfr3,60
Oligodendrocytes,-0.014295028,0.009899136,0.065,0.935,0.065,0.0335,True,Fgfr3,60
Neurons,0.016278261,0.011609157,0.921,0.079,0.079,0.04866666666666667,True,Fgfr3,60
Oligodendrocyte Precursor Cells,0.0070951823,0.012084273,0.717,0.283,0.283,0.10725,False,Fgfr3,60
Endothelial Cells,-0.016568508,0.029891549,0.292,0.708,0.292,0.1442,False,Fgfr3,60
Medium Spiny Neurons,-0.005619614,0.009987781,0.296,0.704,0.296,0.16949999999999998,False,Fgfr3,60
Myocytes,-0.010728457,0.022715546,0.317,0.683,0.317,0.19057142857142856,False,Fgfr3,60
Microglia,-0.0069360514,0.018134788,0.354,0.646,0.354,0.21099999999999997,False,Fgfr3,60
Endocrine Cells,-0.01883547,0.057463925,0.382,0.618,0.382,0.22999999999999998,False,Fgfr3,60
Neural Stem Cells,0.005294167,0.01986438,0.611,0.389,0.389,0.24589999999999995,False,Fgfr3,60
Excitatory Neurons,0.0038472062,0.013422054,0.607,0.393,0.393,0.2592727272727272,False,Fgfr3,60
GABAergic Neurons,-0.0020008637,0.020681655,0.483,0.517,0.483,0.27791666666666665,False,Fgfr3,60
