group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,-0.08244264,0.05745587,0.071,0.929,0.071,0.071,False,Fkbp5,60
Oligodendrocyte Precursor Cells,0.015169249,0.0120469965,0.899,0.101,0.101,0.086,False,Fkbp5,60
Myocytes,0.023685656,0.02272458,0.848,0.152,0.152,0.10799999999999998,False,Fkbp5,60
Neurons,0.009669364,0.011856085,0.792,0.208,0.208,0.13299999999999998,False,Fkbp5,60
Medium Spiny Neurons,-0.0064971303,0.009882032,0.262,0.738,0.262,0.1588,False,Fkbp5,60
Excitatory Neurons,0.00618636,0.0132896295,0.674,0.326,0.326,0.18666666666666665,False,Fkbp5,60
Astrocytes,0.005701704,0.017059341,0.649,0.351,0.351,0.21014285714285713,False,Fkbp5,60
Oligodendrocytes,-0.002316146,0.009761054,0.43,0.57,0.43,0.23762499999999998,False,Fkbp5,60
Neural Stem Cells,-0.0015169082,0.020408751,0.457,0.543,0.457,0.26199999999999996,False,Fkbp5,60
Endothelial Cells,0.0020492289,0.03031521,0.53,0.47,0.47,0.28279999999999994,False,Fkbp5,60
Microglia,0.0021745353,0.018001806,0.53,0.47,0.47,0.29981818181818176,False,Fkbp5,60
GABAergic Neurons,-0.0008335962,0.020551546,0.505,0.495,0.495,0.31608333333333327,False,Fkbp5,60
