group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.010808056,0.009705378,0.127,0.873,0.127,0.127,False,Gdf15,60
Oligodendrocytes,-0.010230443,0.009678565,0.135,0.865,0.135,0.131,False,Gdf15,60
Oligodendrocyte Precursor Cells,0.009440792,0.012049345,0.776,0.224,0.224,0.162,False,Gdf15,60
Neurons,0.0083384635,0.011928197,0.758,0.242,0.242,0.182,False,Gdf15,60
Myocytes,0.008423042,0.022686882,0.642,0.358,0.358,0.21719999999999998,False,Gdf15,60
Endothelial Cells,-0.008537795,0.030492546,0.395,0.605,0.395,0.24683333333333332,False,Gdf15,60
Microglia,-0.004126394,0.017702725,0.403,0.597,0.403,0.26914285714285713,False,Gdf15,60
Excitatory Neurons,0.0031728686,0.01319642,0.591,0.409,0.409,0.28662499999999996,False,Gdf15,60
Endocrine Cells,0.011721045,0.057447024,0.59,0.41,0.41,0.30033333333333334,False,Gdf15,60
Neural Stem Cells,0.0025673776,0.020511411,0.552,0.448,0.448,0.3151,False,Gdf15,60
Astrocytes,0.0008995793,0.016986752,0.543,0.457,0.457,0.32799999999999996,False,Gdf15,60
GABAergic Neurons,-0.0015707286,0.020388385,0.492,0.508,0.492,0.3416666666666666,False,Gdf15,60
