group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,-0.6706586,0.057647903,0.0,1.0,0.0,0.0,True,Gh,60
Myocytes,-0.30232447,0.022828514,0.0,1.0,0.0,0.0,True,Gh,60
Oligodendrocytes,-0.011886772,0.00967196,0.096,0.904,0.096,0.032,True,Gh,60
Medium Spiny Neurons,-0.011024936,0.009703661,0.124,0.876,0.124,0.055,False,Gh,60
Oligodendrocyte Precursor Cells,0.00888066,0.012051137,0.764,0.236,0.236,0.09119999999999999,False,Gh,60
Neurons,0.007787013,0.011928439,0.741,0.259,0.259,0.11916666666666666,False,Gh,60
Endothelial Cells,-0.0126409475,0.030492894,0.344,0.656,0.344,0.15128571428571427,False,Gh,60
Microglia,-0.0044151363,0.017700858,0.395,0.605,0.395,0.18175,False,Gh,60
Excitatory Neurons,0.0030244645,0.013196891,0.586,0.414,0.414,0.20755555555555555,False,Gh,60
Neural Stem Cells,-0.0010806303,0.020511411,0.468,0.532,0.468,0.23359999999999997,False,Gh,60
GABAergic Neurons,-0.0017547006,0.020387301,0.49,0.51,0.49,0.25690909090909086,False,Gh,60
Astrocytes,-0.00066148676,0.016983539,0.504,0.496,0.496,0.2768333333333333,False,Gh,60
