group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,0.24315096,0.058449876,1.0,0.0,0.0,0.0,True,H2-K1,60
Neural Stem Cells,-0.05204928,0.020288909,0.008,0.992,0.008,0.004,True,H2-K1,60
Microglia,0.03649583,0.018833846,0.971,0.029,0.029,0.012333333333333335,True,H2-K1,60
Neurons,0.012319743,0.011871945,0.845,0.155,0.155,0.048,True,H2-K1,60
Oligodendrocyte Precursor Cells,0.010827047,0.01206872,0.812,0.188,0.188,0.076,False,H2-K1,60
Medium Spiny Neurons,-0.008351041,0.009762508,0.2,0.8,0.2,0.09666666666666668,False,H2-K1,60
Endothelial Cells,-0.018961426,0.029323192,0.26,0.74,0.26,0.12000000000000001,False,H2-K1,60
Myocytes,-0.014445009,0.022753589,0.263,0.737,0.263,0.13787500000000003,False,H2-K1,60
Astrocytes,0.005709954,0.017268399,0.647,0.353,0.353,0.1617777777777778,False,H2-K1,60
Excitatory Neurons,0.003987773,0.013225277,0.614,0.386,0.386,0.1842,False,H2-K1,60
Oligodendrocytes,-0.0027494377,0.009912456,0.413,0.587,0.413,0.205,False,H2-K1,60
GABAergic Neurons,-0.00024645138,0.020434346,0.512,0.488,0.488,0.22858333333333333,False,H2-K1,60
