group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,-0.01565598,0.009703474,0.045,0.955,0.045,0.045,True,Il33,60
Medium Spiny Neurons,-0.010038148,0.009747253,0.146,0.854,0.146,0.0955,False,Il33,60
Oligodendrocyte Precursor Cells,0.0099217715,0.012056296,0.789,0.211,0.211,0.134,False,Il33,60
Neurons,0.009496946,0.011879522,0.785,0.215,0.215,0.15425,False,Il33,60
Endocrine Cells,-0.03914382,0.057457663,0.252,0.748,0.252,0.1738,False,Il33,60
Myocytes,0.014787227,0.022718944,0.726,0.274,0.274,0.1905,False,Il33,60
Excitatory Neurons,0.003803628,0.013232872,0.607,0.393,0.393,0.21942857142857145,False,Il33,60
Endothelial Cells,-0.008829439,0.030358845,0.394,0.606,0.394,0.24125000000000002,False,Il33,60
Microglia,-0.0036080494,0.017773097,0.413,0.587,0.413,0.2603333333333333,False,Il33,60
Astrocytes,-0.0013683074,0.017133078,0.484,0.516,0.484,0.2827,False,Il33,60
Neural Stem Cells,0.0004066966,0.020501168,0.509,0.491,0.491,0.30163636363636365,False,Il33,60
GABAergic Neurons,-0.0016609934,0.020449076,0.492,0.508,0.492,0.3175,False,Il33,60
