group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,-0.28421375,0.057508137,0.0,1.0,0.0,0.0,True,Itih5,60
Myocytes,-0.052362103,0.022754995,0.008,0.992,0.008,0.004,True,Itih5,60
Oligodendrocytes,-0.012880713,0.0097494675,0.079,0.921,0.079,0.028999999999999998,True,Itih5,60
Endothelial Cells,-0.03445393,0.028625295,0.114,0.886,0.114,0.05025,False,Itih5,60
Neurons,0.012007095,0.011848992,0.841,0.159,0.159,0.072,False,Itih5,60
Medium Spiny Neurons,-0.007719829,0.009841087,0.223,0.777,0.223,0.09716666666666667,False,Itih5,60
Oligodendrocyte Precursor Cells,0.0091572385,0.012067596,0.769,0.231,0.231,0.11628571428571428,False,Itih5,60
Astrocytes,0.008034995,0.017310984,0.691,0.309,0.309,0.140375,False,Itih5,60
Excitatory Neurons,0.0039658095,0.013230641,0.613,0.387,0.387,0.16777777777777778,False,Itih5,60
Neural Stem Cells,0.004978892,0.02029928,0.599,0.401,0.401,0.1911,False,Itih5,60
Microglia,-0.0041777715,0.01783715,0.402,0.598,0.402,0.21027272727272728,False,Itih5,60
GABAergic Neurons,0.0003957122,0.02048414,0.525,0.475,0.475,0.23233333333333336,False,Itih5,60
