group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,-0.5455713,0.057638407,0.0,1.0,0.0,0.0,True,Meg3,60
Myocytes,-0.14313497,0.02487971,0.0,1.0,0.0,0.0,True,Meg3,60
Neurons,-0.051162448,0.011566597,0.0,1.0,0.0,0.0,True,Meg3,60
Excitatory Neurons,-0.04691706,0.017290374,0.002,0.998,0.002,0.0005,True,Meg3,60
Oligodendrocyte Precursor Cells,0.024209375,0.01209076,0.983,0.017,0.017,0.0038000000000000004,True,Meg3,60
Neural Stem Cells,-0.019104473,0.018399384,0.149,0.851,0.149,0.027999999999999997,True,Meg3,60
Astrocytes,0.016821375,0.017275615,0.837,0.163,0.163,0.04728571428571428,True,Meg3,60
GABAergic Neurons,-0.024258988,0.026397092,0.178,0.822,0.178,0.06362499999999999,False,Meg3,60
Oligodendrocytes,0.008716555,0.010240774,0.802,0.198,0.198,0.07855555555555555,False,Meg3,60
Medium Spiny Neurons,-0.008901618,0.012550642,0.248,0.752,0.248,0.09549999999999999,False,Meg3,60
Microglia,6.298989e-05,0.018240998,0.489,0.511,0.489,0.13127272727272726,False,Meg3,60
Endothelial Cells,0.00073887757,0.030154703,0.51,0.49,0.49,0.16116666666666665,False,Meg3,60
