group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.026678348,0.02271073,0.878,0.122,0.122,0.122,False,Nes,60
Medium Spiny Neurons,-0.010822383,0.009711462,0.127,0.873,0.127,0.1245,False,Nes,60
Oligodendrocytes,-0.010326923,0.00968042,0.134,0.866,0.134,0.12766666666666668,False,Nes,60
Oligodendrocyte Precursor Cells,0.00897969,0.012053936,0.767,0.233,0.233,0.154,False,Nes,60
Neurons,0.00861463,0.011923629,0.765,0.235,0.235,0.1702,False,Nes,60
Endothelial Cells,-0.0086800335,0.030321525,0.395,0.605,0.395,0.20766666666666667,False,Nes,60
Excitatory Neurons,0.0033345222,0.013200514,0.594,0.406,0.406,0.23600000000000002,False,Nes,60
Microglia,-0.0035265503,0.01772588,0.415,0.585,0.415,0.258375,False,Nes,60
Neural Stem Cells,-0.00309648,0.020426612,0.43,0.57,0.43,0.2774444444444445,False,Nes,60
Astrocytes,0.0008326058,0.01700541,0.543,0.457,0.457,0.2954,False,Nes,60
Endocrine Cells,0.0016462429,0.057449635,0.521,0.479,0.479,0.31209090909090914,False,Nes,60
GABAergic Neurons,-0.001556144,0.020391488,0.492,0.508,0.492,0.32708333333333334,False,Nes,60
