group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,0.03906441,0.01003986,1.0,0.0,0.0,0.0,True,Nmu,60
Oligodendrocyte Precursor Cells,0.015375047,0.012039946,0.9,0.1,0.1,0.05,False,Nmu,60
Neurons,0.0145581085,0.011914132,0.89,0.11,0.11,0.07,False,Nmu,60
Medium Spiny Neurons,-0.0059124427,0.009695971,0.278,0.722,0.278,0.12200000000000001,False,Nmu,60
Neural Stem Cells,0.010559285,0.020468885,0.694,0.306,0.306,0.1588,False,Nmu,60
Excitatory Neurons,0.0062602423,0.013199698,0.677,0.323,0.323,0.18616666666666667,False,Nmu,60
Astrocytes,0.006907076,0.01701583,0.67,0.33,0.33,0.2067142857142857,False,Nmu,60
Myocytes,0.007965367,0.02269194,0.632,0.368,0.368,0.226875,False,Nmu,60
Endocrine Cells,0.009953774,0.057461083,0.571,0.429,0.429,0.2493333333333333,False,Nmu,60
GABAergic Neurons,0.0023735873,0.020397589,0.557,0.443,0.443,0.2687,False,Nmu,60
Endothelial Cells,-0.004136701,0.030465296,0.453,0.547,0.453,0.2854545454545454,False,Nmu,60
Microglia,0.0006221808,0.017752286,0.496,0.504,0.496,0.303,False,Nmu,60
