group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,-0.11176332,0.02281559,0.0,1.0,0.0,0.0,True,Nsmf,60
Oligodendrocytes,-0.042689316,0.010318013,0.0,1.0,0.0,0.0,True,Nsmf,60
Neurons,0.016471546,0.010875247,0.941,0.059,0.059,0.019666666666666666,True,Nsmf,60
Endothelial Cells,-0.029886045,0.029334446,0.155,0.845,0.155,0.0535,False,Nsmf,60
Microglia,-0.014219807,0.019143559,0.235,0.765,0.235,0.08979999999999999,False,Nsmf,60
Medium Spiny Neurons,-0.006439284,0.009586296,0.26,0.74,0.26,0.11816666666666666,False,Nsmf,60
Oligodendrocyte Precursor Cells,-0.006442406,0.01228998,0.284,0.716,0.284,0.14185714285714285,False,Nsmf,60
Astrocytes,-0.006952957,0.018087832,0.361,0.639,0.361,0.16924999999999998,False,Nsmf,60
Neural Stem Cells,0.006795864,0.019401407,0.639,0.361,0.361,0.19055555555555553,False,Nsmf,60
Excitatory Neurons,0.0042681587,0.014729848,0.607,0.393,0.393,0.21079999999999996,False,Nsmf,60
Endocrine Cells,-0.010319015,0.057500776,0.432,0.568,0.432,0.23090909090909087,False,Nsmf,60
GABAergic Neurons,-0.0023784183,0.02175816,0.477,0.523,0.477,0.2514166666666666,False,Nsmf,60
