group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,-0.011641784,0.009671377,0.106,0.894,0.106,0.106,False,Onecut3,60
Medium Spiny Neurons,-0.011041802,0.009703431,0.124,0.876,0.124,0.11499999999999999,False,Onecut3,60
Oligodendrocyte Precursor Cells,0.009396174,0.012049906,0.774,0.226,0.226,0.152,False,Onecut3,60
Neurons,0.008698711,0.011923028,0.767,0.233,0.233,0.17225,False,Onecut3,60
Myocytes,0.008683399,0.022687001,0.644,0.356,0.356,0.209,False,Onecut3,60
Endothelial Cells,-0.008430703,0.030491387,0.395,0.605,0.395,0.24,False,Onecut3,60
Microglia,-0.0042069047,0.017702026,0.401,0.599,0.401,0.263,False,Onecut3,60
Excitatory Neurons,0.003148969,0.013197359,0.59,0.41,0.41,0.281375,False,Onecut3,60
Neural Stem Cells,0.00401977,0.020492837,0.584,0.416,0.416,0.29633333333333334,False,Onecut3,60
Endocrine Cells,0.010766451,0.057448145,0.578,0.422,0.422,0.3089,False,Onecut3,60
Astrocytes,0.0008577815,0.01698823,0.543,0.457,0.457,0.32236363636363635,False,Onecut3,60
GABAergic Neurons,-0.0016347397,0.020388255,0.492,0.508,0.492,0.3365,False,Onecut3,60
