group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.02345986,0.011840281,0.015,0.985,0.015,0.015,True,Pde10a,60
Oligodendrocyte Precursor Cells,0.013591005,0.01205775,0.873,0.127,0.127,0.07100000000000001,False,Pde10a,60
Oligodendrocytes,-0.01010033,0.00974634,0.137,0.863,0.137,0.09300000000000001,False,Pde10a,60
Neurons,0.008376754,0.011804034,0.761,0.239,0.239,0.1295,False,Pde10a,60
Myocytes,0.014800588,0.022741484,0.726,0.274,0.274,0.1584,False,Pde10a,60
Neural Stem Cells,0.011321672,0.020351218,0.707,0.293,0.293,0.18083333333333332,False,Pde10a,60
GABAergic Neurons,0.0058988943,0.0208029,0.628,0.372,0.372,0.20814285714285713,False,Pde10a,60
Endothelial Cells,-0.007033052,0.030431487,0.409,0.591,0.409,0.23324999999999999,False,Pde10a,60
Endocrine Cells,-0.0135229565,0.057453606,0.414,0.586,0.414,0.2533333333333333,False,Pde10a,60
Excitatory Neurons,0.0029008416,0.013334476,0.583,0.417,0.417,0.26969999999999994,False,Pde10a,60
Astrocytes,0.0021820865,0.017033817,0.57,0.43,0.43,0.28427272727272723,False,Pde10a,60
Microglia,-0.0016181787,0.017792966,0.453,0.547,0.453,0.2983333333333333,False,Pde10a,60
