group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,-0.026548952,0.010289755,0.005,0.995,0.005,0.005,True,Pllp,60
Medium Spiny Neurons,-0.011095217,0.0097159315,0.124,0.876,0.124,0.0645,False,Pllp,60
Neurons,0.008659259,0.011899475,0.766,0.234,0.234,0.121,False,Pllp,60
Myocytes,0.009027172,0.022689356,0.651,0.349,0.349,0.178,False,Pllp,60
Endothelial Cells,-0.011149266,0.030326324,0.359,0.641,0.359,0.2142,False,Pllp,60
Neural Stem Cells,0.005656223,0.020448769,0.614,0.386,0.386,0.24283333333333332,False,Pllp,60
Oligodendrocyte Precursor Cells,-0.0028751416,0.012183442,0.397,0.603,0.397,0.26485714285714285,False,Pllp,60
Microglia,-0.0041505783,0.017755099,0.402,0.598,0.402,0.282,False,Pllp,60
Excitatory Neurons,0.0032926635,0.013211375,0.593,0.407,0.407,0.29588888888888887,False,Pllp,60
Endocrine Cells,0.008568202,0.057460055,0.561,0.439,0.439,0.3102,False,Pllp,60
Astrocytes,0.001229908,0.017017549,0.55,0.45,0.45,0.3229090909090909,False,Pllp,60
GABAergic Neurons,-0.0008756558,0.02042992,0.503,0.497,0.497,0.3374166666666667,False,Pllp,60
