group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.03213524,0.010680479,0.001,0.999,0.001,0.001,True,Rgs9,60
Oligodendrocytes,-0.010973864,0.009711236,0.121,0.879,0.121,0.061,False,Rgs9,60
Endocrine Cells,-0.05612803,0.057458688,0.157,0.843,0.157,0.09300000000000001,False,Rgs9,60
Oligodendrocyte Precursor Cells,0.009429103,0.012064348,0.775,0.225,0.225,0.126,False,Rgs9,60
Neurons,0.00484842,0.011873151,0.666,0.334,0.334,0.16760000000000003,False,Rgs9,60
Myocytes,0.0060192132,0.022706022,0.602,0.398,0.398,0.20600000000000004,False,Rgs9,60
Endothelial Cells,-0.007875924,0.030461092,0.401,0.599,0.401,0.2338571428571429,False,Rgs9,60
Excitatory Neurons,0.0030947817,0.013223877,0.587,0.413,0.413,0.25625000000000003,False,Rgs9,60
Microglia,-0.002337109,0.017750071,0.434,0.566,0.434,0.276,False,Rgs9,60
Astrocytes,0.0005485638,0.017010221,0.538,0.462,0.462,0.2946000000000001,False,Rgs9,60
Neural Stem Cells,0.0019757114,0.020440303,0.538,0.462,0.462,0.3098181818181819,False,Rgs9,60
GABAergic Neurons,0.0010181818,0.02059894,0.535,0.465,0.465,0.32275000000000004,False,Rgs9,60
