group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,-0.23254308,0.057504844,0.0,1.0,0.0,0.0,True,Selenop,60
Neurons,0.04514608,0.011187786,1.0,0.0,0.0,0.0,True,Selenop,60
Oligodendrocytes,-0.019264156,0.010436099,0.029,0.971,0.029,0.009666666666666667,True,Selenop,60
Astrocytes,0.035938915,0.019301012,0.962,0.038,0.038,0.01675,True,Selenop,60
Oligodendrocyte Precursor Cells,0.020291729,0.012092217,0.956,0.044,0.044,0.0222,True,Selenop,60
Endothelial Cells,-0.026372794,0.026030941,0.155,0.845,0.155,0.044333333333333336,True,Selenop,60
Myocytes,-0.022416182,0.023142805,0.179,0.821,0.179,0.06357142857142857,False,Selenop,60
Neural Stem Cells,0.015465244,0.019518968,0.776,0.224,0.224,0.083625,False,Selenop,60
Medium Spiny Neurons,0.0071746027,0.010376265,0.757,0.243,0.243,0.10133333333333333,False,Selenop,60
Excitatory Neurons,0.0072953408,0.013631866,0.706,0.294,0.294,0.1206,False,Selenop,60
GABAergic Neurons,0.009806503,0.021083843,0.679,0.321,0.321,0.1388181818181818,False,Selenop,60
Microglia,0.005271616,0.02311044,0.585,0.415,0.415,0.16183333333333333,False,Selenop,60
