group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.035178393,0.022733038,0.942,0.058,0.058,0.058,False,Serpina3n,60
Astrocytes,0.020694463,0.017180365,0.887,0.113,0.113,0.0855,False,Serpina3n,60
Oligodendrocyte Precursor Cells,0.013694152,0.012054379,0.874,0.126,0.126,0.09900000000000002,False,Serpina3n,60
Neurons,0.011354897,0.011860049,0.826,0.174,0.174,0.11775000000000001,False,Serpina3n,60
Oligodendrocytes,0.007520877,0.009783294,0.775,0.225,0.225,0.13920000000000002,False,Serpina3n,60
Medium Spiny Neurons,-0.006883342,0.009708247,0.248,0.752,0.248,0.15733333333333335,False,Serpina3n,60
Excitatory Neurons,0.005126405,0.013236841,0.651,0.349,0.349,0.18471428571428575,False,Serpina3n,60
Microglia,0.0061018057,0.017841827,0.634,0.366,0.366,0.20737500000000003,False,Serpina3n,60
Neural Stem Cells,0.005413939,0.020422319,0.611,0.389,0.389,0.22755555555555557,False,Serpina3n,60
GABAergic Neurons,0.0011523482,0.020439487,0.541,0.459,0.459,0.25070000000000003,False,Serpina3n,60
Endocrine Cells,-0.004064027,0.057454746,0.478,0.522,0.478,0.2713636363636364,False,Serpina3n,60
Endothelial Cells,-5.8608035e-05,0.030408459,0.498,0.502,0.498,0.29025000000000006,False,Serpina3n,60
