group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,0.14199272,0.05793568,0.99,0.01,0.01,0.01,True,Serping1,60
Myocytes,0.033403773,0.022801854,0.93,0.07,0.07,0.04,True,Serping1,60
Oligodendrocytes,-0.010662475,0.009675553,0.128,0.872,0.128,0.06933333333333334,False,Serping1,60
Neurons,0.01103442,0.011904405,0.817,0.183,0.183,0.09775,False,Serping1,60
Medium Spiny Neurons,-0.008851592,0.009724421,0.186,0.814,0.186,0.11539999999999999,False,Serping1,60
Oligodendrocyte Precursor Cells,0.010379645,0.012046882,0.804,0.196,0.196,0.12883333333333333,False,Serping1,60
Excitatory Neurons,0.0033857105,0.013202505,0.597,0.403,0.403,0.16799999999999998,False,Serping1,60
Microglia,-0.0037466614,0.017719911,0.41,0.59,0.41,0.19824999999999998,False,Serping1,60
Astrocytes,0.002899917,0.017127588,0.588,0.412,0.412,0.22199999999999998,False,Serping1,60
Neural Stem Cells,-0.003872816,0.020400522,0.415,0.585,0.415,0.2413,False,Serping1,60
Endothelial Cells,-0.000215517,0.029904641,0.497,0.503,0.497,0.26454545454545453,False,Serping1,60
GABAergic Neurons,-0.0009417998,0.020400103,0.502,0.498,0.498,0.284,False,Serping1,60
