group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Microglia,-0.07319363,0.020301357,0.0,1.0,0.0,0.0,True,Siglech,60
Oligodendrocytes,-0.012664994,0.00969861,0.081,0.919,0.081,0.0405,True,Siglech,60
Medium Spiny Neurons,-0.01015944,0.009738537,0.144,0.856,0.144,0.075,False,Siglech,60
Myocytes,0.021349741,0.02270191,0.819,0.181,0.181,0.10149999999999999,False,Siglech,60
Neurons,0.00817798,0.011903561,0.757,0.243,0.243,0.1298,False,Siglech,60
Oligodendrocyte Precursor Cells,0.008478776,0.012058754,0.756,0.244,0.244,0.14883333333333335,False,Siglech,60
Endothelial Cells,-0.010472047,0.03042728,0.368,0.632,0.368,0.18014285714285716,False,Siglech,60
Excitatory Neurons,0.0027412863,0.013219082,0.581,0.419,0.419,0.21000000000000002,False,Siglech,60
Astrocytes,0.0010374668,0.017022585,0.546,0.454,0.454,0.23711111111111116,False,Siglech,60
Neural Stem Cells,0.0008776276,0.020474844,0.518,0.482,0.482,0.26160000000000005,False,Siglech,60
Endocrine Cells,-0.0004839279,0.057453256,0.509,0.491,0.491,0.2824545454545455,False,Siglech,60
GABAergic Neurons,-0.0014513884,0.02041986,0.495,0.505,0.495,0.30016666666666675,False,Siglech,60
