group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,0.22427136,0.0581074,1.0,0.0,0.0,0.0,True,Tgfbr3,60
Myocytes,-0.04023383,0.022723766,0.041,0.959,0.041,0.0205,True,Tgfbr3,60
Oligodendrocytes,-0.0108894175,0.009691195,0.123,0.877,0.123,0.05466666666666667,False,Tgfbr3,60
Medium Spiny Neurons,-0.009994515,0.009808967,0.151,0.849,0.151,0.07875,False,Tgfbr3,60
Oligodendrocyte Precursor Cells,0.009453947,0.012055393,0.776,0.224,0.224,0.1078,False,Tgfbr3,60
Neurons,0.0068215425,0.011884454,0.719,0.281,0.281,0.1366666666666667,False,Tgfbr3,60
Excitatory Neurons,0.0034084402,0.013243026,0.597,0.403,0.403,0.17471428571428574,False,Tgfbr3,60
Microglia,-0.003402464,0.017733121,0.42,0.58,0.42,0.205375,False,Tgfbr3,60
Astrocytes,0.0016495753,0.017086025,0.556,0.444,0.444,0.23188888888888892,False,Tgfbr3,60
Endothelial Cells,-0.0023572403,0.029826464,0.471,0.529,0.471,0.2558,False,Tgfbr3,60
Neural Stem Cells,0.0014259223,0.020464009,0.529,0.471,0.471,0.2753636363636364,False,Tgfbr3,60
GABAergic Neurons,-0.0011085412,0.020446073,0.5,0.5,0.5,0.29408333333333336,False,Tgfbr3,60
