group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Medium Spiny Neurons,-0.014538852,0.010063703,0.068,0.932,0.068,0.068,False,Tnr,60
Oligodendrocytes,-0.009534885,0.009840868,0.158,0.842,0.158,0.113,False,Tnr,60
Endocrine Cells,-0.045033347,0.057465587,0.22,0.78,0.22,0.14866666666666667,False,Tnr,60
Neurons,0.0067421547,0.011573805,0.721,0.279,0.279,0.18125000000000002,False,Tnr,60
Oligodendrocyte Precursor Cells,0.0062524537,0.0135866,0.683,0.317,0.317,0.2084,False,Tnr,60
Astrocytes,0.0044166027,0.01714155,0.629,0.371,0.371,0.23550000000000001,False,Tnr,60
Endothelial Cells,-0.008801019,0.0303778,0.394,0.606,0.394,0.2581428571428571,False,Tnr,60
Microglia,-0.0039473465,0.017877346,0.408,0.592,0.408,0.276875,False,Tnr,60
Neural Stem Cells,-0.0027010331,0.020298686,0.439,0.561,0.439,0.29488888888888887,False,Tnr,60
Myocytes,0.0015599409,0.022769563,0.542,0.458,0.458,0.31120000000000003,False,Tnr,60
GABAergic Neurons,-0.0020010874,0.02105908,0.485,0.515,0.485,0.327,False,Tnr,60
Excitatory Neurons,-0.00019581582,0.013708796,0.5,0.5,0.5,0.34141666666666665,False,Tnr,60
