group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,-0.011206854,0.009674628,0.117,0.883,0.117,0.117,False,Trp53cor1,60
Medium Spiny Neurons,-0.010892843,0.009704233,0.126,0.874,0.126,0.1215,False,Trp53cor1,60
Oligodendrocyte Precursor Cells,0.00952193,0.01205035,0.777,0.223,0.223,0.15533333333333332,False,Trp53cor1,60
Neurons,0.008242303,0.011928081,0.757,0.243,0.243,0.17725,False,Trp53cor1,60
Myocytes,0.008613911,0.022686888,0.644,0.356,0.356,0.213,False,Trp53cor1,60
Microglia,-0.004958612,0.017709391,0.382,0.618,0.382,0.24116666666666667,False,Trp53cor1,60
Endothelial Cells,-0.008513627,0.030490085,0.395,0.605,0.395,0.2631428571428572,False,Trp53cor1,60
Endocrine Cells,0.0119470125,0.05744771,0.592,0.408,0.408,0.28125,False,Trp53cor1,60
Excitatory Neurons,0.0031060982,0.013197482,0.589,0.411,0.411,0.2956666666666667,False,Trp53cor1,60
Astrocytes,0.0008392475,0.016991673,0.543,0.457,0.457,0.31179999999999997,False,Trp53cor1,60
Neural Stem Cells,0.0021524923,0.020508902,0.539,0.461,0.461,0.32536363636363635,False,Trp53cor1,60
GABAergic Neurons,-0.0015854219,0.020388495,0.492,0.508,0.492,0.33925,False,Trp53cor1,60
