group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Oligodendrocytes,-0.015533302,0.010218778,0.057,0.943,0.057,0.057,False,Vamp3,60
Medium Spiny Neurons,-0.00990573,0.009900612,0.155,0.845,0.155,0.106,False,Vamp3,60
Endocrine Cells,-0.04341163,0.057463452,0.227,0.773,0.227,0.14633333333333334,False,Vamp3,60
Neurons,0.007823409,0.01175775,0.749,0.251,0.251,0.1725,False,Vamp3,60
Oligodendrocyte Precursor Cells,0.0061569214,0.012091665,0.698,0.302,0.302,0.1984,False,Vamp3,60
Endothelial Cells,-0.014074791,0.029837942,0.315,0.685,0.315,0.21783333333333332,False,Vamp3,60
Neural Stem Cells,-0.007920815,0.019984031,0.336,0.664,0.336,0.2347142857142857,False,Vamp3,60
Microglia,-0.006182915,0.018159442,0.363,0.637,0.363,0.25075000000000003,False,Vamp3,60
Astrocytes,0.0014294274,0.01721368,0.555,0.445,0.445,0.2723333333333333,False,Vamp3,60
Excitatory Neurons,0.0016511341,0.013351987,0.549,0.451,0.451,0.2902,False,Vamp3,60
Myocytes,0.0017239806,0.022745954,0.544,0.456,0.456,0.3052727272727273,False,Vamp3,60
GABAergic Neurons,-0.0011643913,0.020619294,0.499,0.501,0.499,0.3214166666666667,False,Vamp3,60
