group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Endocrine Cells,-0.19086653,0.058103226,0.001,0.999,0.001,0.001,True,Ywhaz,60
Myocytes,-0.060433753,0.023052068,0.002,0.998,0.002,0.0015,True,Ywhaz,60
Neurons,-0.024124494,0.011249485,0.014,0.986,0.014,0.005666666666666667,True,Ywhaz,60
Neural Stem Cells,-0.022964265,0.017301897,0.098,0.902,0.098,0.02875,True,Ywhaz,60
Oligodendrocyte Precursor Cells,0.011347182,0.012555848,0.814,0.186,0.186,0.0602,False,Ywhaz,60
Astrocytes,0.015644047,0.018405994,0.811,0.189,0.189,0.08166666666666667,False,Ywhaz,60
Medium Spiny Neurons,-0.009795737,0.0129542295,0.234,0.766,0.234,0.10342857142857143,False,Ywhaz,60
Microglia,-0.011639999,0.020518078,0.288,0.712,0.288,0.1265,False,Ywhaz,60
Excitatory Neurons,0.007024737,0.018598776,0.647,0.353,0.353,0.15166666666666667,False,Ywhaz,60
GABAergic Neurons,-0.010130792,0.025941847,0.358,0.642,0.358,0.17229999999999998,False,Ywhaz,60
Endothelial Cells,-0.009020735,0.027961498,0.383,0.617,0.383,0.19145454545454543,False,Ywhaz,60
Oligodendrocytes,-0.0023469017,0.011022983,0.437,0.563,0.437,0.21191666666666664,False,Ywhaz,60
