group,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature,age
Myocytes,0.09077395,0.024976153,1.0,0.0,0.0,0.0,True,Adcy1,21
Oligodendrocyte Precursor Cells,0.01535975,0.011855563,0.902,0.098,0.098,0.049,True,Adcy1,21
Excitatory Neurons,0.017581671,0.013355148,0.899,0.101,0.101,0.06633333333333334,False,Adcy1,21
Medium Spiny Neurons,-0.011014797,0.012165661,0.187,0.813,0.187,0.0965,False,Adcy1,21
Astrocytes,0.008683902,0.016374156,0.711,0.289,0.289,0.135,False,Adcy1,21
Neurons,0.0072506806,0.013878034,0.699,0.301,0.301,0.16266666666666665,False,Adcy1,21
GABAergic Neurons,0.0053436398,0.019955728,0.617,0.383,0.383,0.19414285714285714,False,Adcy1,21
Endocrine Cells,0.0070719607,0.031073796,0.598,0.402,0.402,0.22012500000000002,False,Adcy1,21
Microglia,-0.0030091922,0.01823596,0.425,0.575,0.425,0.24288888888888888,False,Adcy1,21
Oligodendrocytes,0.0014165031,0.01050972,0.567,0.433,0.433,0.26189999999999997,False,Adcy1,21
Endothelial Cells,-0.0038298082,0.030957704,0.457,0.543,0.457,0.2796363636363636,False,Adcy1,21
Neural Stem Cells,0.0009488576,0.018200543,0.521,0.479,0.479,0.29624999999999996,False,Adcy1,21
Medium Spiny Neurons,-0.011649512,0.01109744,0.143,0.857,0.143,0.143,False,Adora2a,21
Oligodendrocyte Precursor Cells,0.012183864,0.011562961,0.849,0.151,0.151,0.147,False,Adora2a,21
Neurons,0.008904828,0.014203439,0.732,0.268,0.268,0.18733333333333335,False,Adora2a,21
Excitatory Neurons,0.0046547577,0.012284992,0.648,0.352,0.352,0.2285,False,Adora2a,21
Neural Stem Cells,0.0061654435,0.018344853,0.636,0.364,0.364,0.2556,False,Adora2a,21
Myocytes,0.00825967,0.024656218,0.631,0.369,0.369,0.2745,False,Adora2a,21
Endocrine Cells,0.007679197,0.031066956,0.605,0.395,0.395,0.2917142857142857,False,Adora2a,21
Microglia,-0.0041346415,0.017941156,0.404,0.596,0.404,0.30574999999999997,False,Adora2a,21
Endothelial Cells,-0.0076707276,0.031206459,0.405,0.595,0.405,0.31677777777777777,False,Adora2a,21
Astrocytes,0.001959638,0.016002264,0.566,0.434,0.434,0.3285,False,Adora2a,21
Oligodendrocytes,-0.002402432,0.010698278,0.434,0.566,0.434,0.3380909090909091,False,Adora2a,21
GABAergic Neurons,-0.0035186312,0.019028496,0.441,0.559,0.441,0.3466666666666667,False,Adora2a,21
Oligodendrocytes,-0.013097492,0.008976452,0.061,0.939,0.061,0.061,False,Agpat4,21
Neural Stem Cells,0.018392097,0.017938256,0.844,0.156,0.156,0.1085,False,Agpat4,21
Oligodendrocyte Precursor Cells,0.011766113,0.011786138,0.835,0.165,0.165,0.12733333333333333,False,Agpat4,21
Medium Spiny Neurons,-0.010576128,0.012299647,0.2,0.8,0.2,0.14550000000000002,False,Agpat4,21
Myocytes,0.020647774,0.024818188,0.786,0.214,0.214,0.1592,False,Agpat4,21
Neurons,0.010959864,0.013979029,0.782,0.218,0.218,0.169,False,Agpat4,21
Excitatory Neurons,0.008034353,0.012532213,0.741,0.259,0.259,0.18185714285714288,False,Agpat4,21
Endocrine Cells,-0.014316813,0.031370077,0.336,0.664,0.336,0.20112500000000003,False,Agpat4,21
Endothelial Cells,-0.007915079,0.03109635,0.401,0.599,0.401,0.22333333333333336,False,Agpat4,21
Astrocytes,0.0024519293,0.016165478,0.581,0.419,0.419,0.24290000000000003,False,Agpat4,21
Microglia,-0.0025950791,0.0179996,0.432,0.568,0.432,0.2600909090909091,False,Agpat4,21
GABAergic Neurons,-0.0004387202,0.01922029,0.508,0.492,0.492,0.2794166666666667,False,Agpat4,21
Neurons,0.027918179,0.0122863185,0.982,0.018,0.018,0.018,True,Ahi1,21
Myocytes,0.049965415,0.024978496,0.981,0.019,0.019,0.0185,True,Ahi1,21
Oligodendrocyte Precursor Cells,0.01465543,0.0119079575,0.894,0.106,0.106,0.04766666666666666,True,Ahi1,21
