,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.012725407,0.0114597585,0.868,0.132,0.132,0.132,False,Abca1
Neurons,0.010319656,0.01382474,0.77,0.23,0.23,0.181,False,Abca1
Oligodendrocytes,0.006599398,0.010245911,0.743,0.257,0.257,0.20633333333333334,False,Abca1
Neural Stem Cells,0.011027019,0.02132806,0.694,0.306,0.306,0.23125,False,Abca1
Microglia,0.0076885903,0.018307744,0.662,0.338,0.338,0.25260000000000005,False,Abca1
Myocytes,-0.0073279054,0.018727448,0.339,0.661,0.339,0.267,False,Abca1
Excitatory Neurons,0.005103612,0.012447922,0.654,0.346,0.346,0.2782857142857143,False,Abca1
Astrocytes,0.0046757273,0.016469609,0.637,0.363,0.363,0.288875,False,Abca1
Endothelial Cells,-0.008093562,0.030972362,0.4,0.6,0.4,0.3012222222222222,False,Abca1
Medium Spiny Neurons,0.0019990345,0.0095849475,0.598,0.402,0.402,0.3113,False,Abca1
Endocrine Cells,0.003014755,0.027851105,0.544,0.456,0.456,0.32445454545454544,False,Abca1
GABAergic Neurons,-0.0006196026,0.019498877,0.505,0.495,0.495,0.33866666666666667,False,Abca1
