,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.012424074,0.011427331,0.859,0.141,0.141,0.141,False,Abcg2
Neurons,0.01011119,0.013799306,0.768,0.232,0.232,0.1865,False,Abcg2
Myocytes,-0.009028384,0.018732179,0.315,0.685,0.315,0.2293333333333333,False,Abcg2
Excitatory Neurons,0.0050570997,0.012464046,0.654,0.346,0.346,0.25849999999999995,False,Abcg2
Astrocytes,0.004807404,0.016241327,0.641,0.359,0.359,0.27859999999999996,False,Abcg2
Medium Spiny Neurons,0.0019219557,0.009545263,0.595,0.405,0.405,0.29966666666666664,False,Abcg2
Endocrine Cells,-0.005205092,0.027787043,0.428,0.572,0.428,0.318,False,Abcg2
Neural Stem Cells,0.0028816024,0.021547351,0.555,0.445,0.445,0.333875,False,Abcg2
Endothelial Cells,-0.0035302048,0.030267263,0.458,0.542,0.458,0.3476666666666667,False,Abcg2
Microglia,-0.00027858734,0.018132335,0.484,0.516,0.484,0.3613,False,Abcg2
Oligodendrocytes,-0.00061760255,0.010345721,0.487,0.513,0.487,0.3727272727272727,False,Abcg2
GABAergic Neurons,-0.0012424677,0.019496607,0.496,0.504,0.496,0.383,False,Abcg2
