,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013239826,0.011358061,0.88,0.12,0.12,0.12,False,Adamts1
Oligodendrocytes,0.009886447,0.010070374,0.845,0.155,0.155,0.1375,False,Adamts1
Neurons,0.009892681,0.013824174,0.763,0.237,0.237,0.17066666666666666,False,Adamts1
Endocrine Cells,0.016744187,0.027838092,0.734,0.266,0.266,0.1945,False,Adamts1
Myocytes,0.009744164,0.018853942,0.689,0.311,0.311,0.2178,False,Adamts1
Neural Stem Cells,0.010436834,0.0214608,0.687,0.313,0.313,0.23366666666666666,False,Adamts1
Excitatory Neurons,0.005174531,0.012458805,0.655,0.345,0.345,0.24957142857142856,False,Adamts1
Astrocytes,0.0033427803,0.016271306,0.603,0.397,0.397,0.268,False,Adamts1
Endothelial Cells,-0.0047141616,0.030697256,0.446,0.554,0.446,0.2877777777777778,False,Adamts1
Microglia,0.00012495543,0.018091196,0.49,0.51,0.49,0.308,False,Adamts1
GABAergic Neurons,-0.0014751906,0.019498084,0.493,0.507,0.493,0.32481818181818184,False,Adamts1
Medium Spiny Neurons,-0.00041230282,0.009581164,0.497,0.503,0.497,0.33916666666666667,False,Adamts1
