,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Medium Spiny Neurons,-0.016096866,0.0095818695,0.038,0.962,0.038,0.038,True,Adora2a
Oligodendrocyte Precursor Cells,0.013692095,0.011240128,0.891,0.109,0.109,0.0735,False,Adora2a
Neurons,0.009519492,0.013848162,0.757,0.243,0.243,0.13,False,Adora2a
Excitatory Neurons,0.0049322974,0.01243631,0.653,0.347,0.347,0.18425,False,Adora2a
Myocytes,0.0063966042,0.01871382,0.632,0.368,0.368,0.221,False,Adora2a
Astrocytes,0.003919124,0.01620608,0.622,0.378,0.378,0.24716666666666667,False,Adora2a
Endothelial Cells,-0.007868497,0.031023808,0.402,0.598,0.402,0.2692857142857143,False,Adora2a
Endocrine Cells,0.005335748,0.027723724,0.582,0.418,0.418,0.28787500000000005,False,Adora2a
Neural Stem Cells,0.004008061,0.021550426,0.578,0.422,0.422,0.3027777777777778,False,Adora2a
Microglia,-0.001280581,0.018067425,0.462,0.538,0.462,0.3187000000000001,False,Adora2a
Oligodendrocytes,-0.0009884739,0.010359262,0.474,0.526,0.474,0.33281818181818185,False,Adora2a
GABAergic Neurons,-0.00043309917,0.019585652,0.508,0.492,0.492,0.34608333333333335,False,Adora2a
