,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,-0.01783985,0.008912344,0.021,0.979,0.021,0.021,True,Agpat4
Myocytes,0.0267744,0.018863447,0.92,0.08,0.08,0.0505,False,Agpat4
Oligodendrocyte Precursor Cells,0.013436627,0.011551495,0.879,0.121,0.121,0.074,False,Agpat4
Endocrine Cells,-0.018747194,0.028052133,0.258,0.742,0.258,0.12,False,Agpat4
Neurons,0.008610811,0.013621006,0.733,0.267,0.267,0.1494,False,Agpat4
Excitatory Neurons,0.006627818,0.012676534,0.701,0.299,0.299,0.17433333333333334,False,Agpat4
Medium Spiny Neurons,0.0030732092,0.00957541,0.641,0.359,0.359,0.2007142857142857,False,Agpat4
Astrocytes,0.004598718,0.016359098,0.637,0.363,0.363,0.221,False,Agpat4
Neural Stem Cells,0.0051154303,0.021249937,0.599,0.401,0.401,0.241,False,Agpat4
Endothelial Cells,-0.0073296633,0.030911528,0.408,0.592,0.408,0.2577,False,Agpat4
Microglia,-0.001087576,0.018113807,0.466,0.534,0.466,0.2766363636363636,False,Agpat4
GABAergic Neurons,-0.001067626,0.019768372,0.5,0.5,0.5,0.29525,False,Agpat4
