,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.014062314,0.01125722,0.897,0.103,0.103,0.103,False,Agt
Neurons,0.010610568,0.013801767,0.777,0.223,0.223,0.163,False,Agt
Myocytes,0.009597744,0.018727979,0.685,0.315,0.315,0.21366666666666667,False,Agt
Excitatory Neurons,0.0049774265,0.0124353245,0.654,0.346,0.346,0.24675,False,Agt
Endothelial Cells,-0.0077964547,0.031045957,0.402,0.598,0.402,0.2778,False,Agt
Neural Stem Cells,0.0042631174,0.021533357,0.585,0.415,0.415,0.3006666666666667,False,Agt
Astrocytes,0.0023229248,0.016564803,0.574,0.426,0.426,0.31857142857142856,False,Agt
Medium Spiny Neurons,0.0010896445,0.009594629,0.562,0.438,0.438,0.3335,False,Agt
Endocrine Cells,0.002368813,0.027707968,0.538,0.462,0.462,0.3477777777777778,False,Agt
Microglia,-0.0005734359,0.018076815,0.473,0.527,0.473,0.3603,False,Agt
GABAergic Neurons,-0.001015787,0.01947434,0.5,0.5,0.5,0.373,False,Agt
Oligodendrocytes,-0.0002464344,0.0103456555,0.5,0.5,0.5,0.38358333333333333,False,Agt
