,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.02271905,0.01155648,0.983,0.017,0.017,0.017,True,Arc
Excitatory Neurons,0.026613278,0.01333703,0.978,0.022,0.022,0.0195,True,Arc
Neurons,0.01526801,0.013684964,0.867,0.133,0.133,0.05733333333333334,False,Arc
Myocytes,-0.013212103,0.018742573,0.244,0.756,0.244,0.10400000000000001,False,Arc
Astrocytes,0.0080349315,0.016391816,0.702,0.298,0.298,0.14279999999999998,False,Arc
Neural Stem Cells,0.0082150195,0.021487538,0.649,0.351,0.351,0.1775,False,Arc
GABAergic Neurons,0.0069052204,0.019923653,0.646,0.354,0.354,0.2027142857142857,False,Arc
Medium Spiny Neurons,0.0018761811,0.009474001,0.593,0.407,0.407,0.22825,False,Arc
Microglia,0.004150272,0.018310476,0.584,0.416,0.416,0.24911111111111112,False,Arc
Oligodendrocytes,-0.0023074385,0.009914475,0.432,0.568,0.432,0.26739999999999997,False,Arc
Endocrine Cells,-0.002774617,0.027821215,0.464,0.536,0.464,0.2852727272727273,False,Arc
Endothelial Cells,-0.00112519,0.030861886,0.485,0.515,0.485,0.30191666666666667,False,Arc
