,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.016062276,0.011756146,0.911,0.089,0.089,0.089,False,Arhgap31
Myocytes,0.020942975,0.018824782,0.866,0.134,0.134,0.1115,False,Arhgap31
Neurons,0.00983849,0.013806875,0.763,0.237,0.237,0.15333333333333332,False,Arhgap31
Excitatory Neurons,0.0051396717,0.012447054,0.654,0.346,0.346,0.20149999999999998,False,Arhgap31
Astrocytes,0.00497226,0.016247831,0.643,0.357,0.357,0.23259999999999997,False,Arhgap31
Neural Stem Cells,0.005431884,0.021498919,0.6,0.4,0.4,0.26049999999999995,False,Arhgap31
Endothelial Cells,-0.0071442323,0.03073964,0.409,0.591,0.409,0.2817142857142857,False,Arhgap31
Medium Spiny Neurons,0.0009431835,0.009547582,0.561,0.439,0.439,0.30137499999999995,False,Arhgap31
Endocrine Cells,0.0021272365,0.027787177,0.538,0.462,0.462,0.3192222222222222,False,Arhgap31
Microglia,-0.00089748076,0.018124592,0.468,0.532,0.468,0.33409999999999995,False,Arhgap31
Oligodendrocytes,-0.0003569558,0.010299441,0.496,0.504,0.496,0.3488181818181818,False,Arhgap31
GABAergic Neurons,-0.0011298915,0.019492328,0.499,0.501,0.499,0.3613333333333333,False,Arhgap31
