,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,-0.03866666,0.008929161,0.0,1.0,0.0,0.0,True,Aspa
Oligodendrocyte Precursor Cells,0.012780318,0.011234554,0.874,0.126,0.126,0.063,False,Aspa
Neurons,0.009147429,0.0138287945,0.747,0.253,0.253,0.12633333333333333,False,Aspa
Myocytes,0.008532511,0.018758787,0.671,0.329,0.329,0.177,False,Aspa
Excitatory Neurons,0.0045993286,0.012440197,0.642,0.358,0.358,0.21319999999999997,False,Aspa
Neural Stem Cells,0.005926584,0.021509731,0.614,0.386,0.386,0.242,False,Aspa
Endothelial Cells,-0.008742521,0.031040635,0.395,0.605,0.395,0.26385714285714285,False,Aspa
Astrocytes,0.002775899,0.016252382,0.588,0.412,0.412,0.282375,False,Aspa
Microglia,-0.0015568319,0.018068668,0.455,0.545,0.455,0.3015555555555556,False,Aspa
Endocrine Cells,0.0024574993,0.02773529,0.541,0.459,0.459,0.3173,False,Aspa
Medium Spiny Neurons,0.00017395086,0.009586459,0.527,0.473,0.473,0.33145454545454545,False,Aspa
GABAergic Neurons,-0.0012422999,0.019480396,0.496,0.504,0.496,0.3451666666666666,False,Aspa
