,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,0.06399953,0.028504627,0.986,0.014,0.014,0.014,True,Atf5
Oligodendrocytes,0.019628054,0.010152699,0.97,0.03,0.03,0.022,True,Atf5
Oligodendrocyte Precursor Cells,0.016054006,0.011367052,0.921,0.079,0.079,0.041,True,Atf5
Neurons,0.011442732,0.013713878,0.797,0.203,0.203,0.0815,False,Atf5
Astrocytes,0.007859908,0.016376648,0.697,0.303,0.303,0.1258,False,Atf5
Excitatory Neurons,0.0054073255,0.01250213,0.661,0.339,0.339,0.16133333333333333,False,Atf5
Medium Spiny Neurons,0.0028023734,0.009534573,0.632,0.368,0.368,0.19085714285714284,False,Atf5
Myocytes,-0.0060409172,0.01888251,0.37,0.63,0.37,0.21325,False,Atf5
Neural Stem Cells,0.0050999857,0.021139523,0.599,0.401,0.401,0.23411111111111113,False,Atf5
Endothelial Cells,-0.0056147794,0.03080468,0.431,0.569,0.431,0.2538,False,Atf5
Microglia,0.002286022,0.01816188,0.533,0.467,0.467,0.2731818181818182,False,Atf5
GABAergic Neurons,-0.00058070436,0.019785266,0.505,0.495,0.495,0.2916666666666667,False,Atf5
