,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,0.027682101,0.009345536,0.999,0.001,0.001,0.001,True,B2m
Microglia,0.042128257,0.022229185,0.968,0.032,0.032,0.0165,True,B2m
Oligodendrocyte Precursor Cells,0.017475981,0.011832267,0.931,0.069,0.069,0.034,True,B2m
Myocytes,0.02812784,0.01939118,0.926,0.074,0.074,0.044,True,B2m
Neurons,0.017020348,0.013530101,0.9,0.1,0.1,0.055200000000000006,False,B2m
Astrocytes,0.015137126,0.016992077,0.819,0.181,0.181,0.07616666666666667,False,B2m
Medium Spiny Neurons,0.005708052,0.0095126275,0.734,0.266,0.266,0.1032857142857143,False,B2m
Endothelial Cells,-0.016234096,0.028478682,0.285,0.715,0.285,0.126,False,B2m
Endocrine Cells,-0.015310326,0.029177021,0.31,0.69,0.31,0.14644444444444446,False,B2m
Excitatory Neurons,0.0039371834,0.012799849,0.616,0.384,0.384,0.1702,False,B2m
Neural Stem Cells,-0.0014141528,0.020887433,0.458,0.542,0.458,0.19636363636363638,False,B2m
GABAergic Neurons,-0.00032418,0.019813934,0.51,0.49,0.49,0.22083333333333335,False,B2m
