,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,0.050011143,0.028245358,0.958,0.042,0.042,0.042,True,Cd9
Microglia,0.030597253,0.018823335,0.947,0.053,0.053,0.0475,True,Cd9
Oligodendrocyte Precursor Cells,0.017892838,0.011792437,0.939,0.061,0.061,0.052,False,Cd9
Myocytes,0.027429435,0.018834347,0.93,0.07,0.07,0.0565,False,Cd9
Neurons,0.010131752,0.013822587,0.768,0.232,0.232,0.0916,False,Cd9
Excitatory Neurons,0.0049281768,0.012447005,0.653,0.347,0.347,0.13416666666666666,False,Cd9
Astrocytes,0.0051747225,0.016433902,0.645,0.355,0.355,0.1657142857142857,False,Cd9
Oligodendrocytes,-0.0036848718,0.010063991,0.383,0.617,0.383,0.192875,False,Cd9
Medium Spiny Neurons,0.0021321648,0.009583078,0.6,0.4,0.4,0.2158888888888889,False,Cd9
Endothelial Cells,-0.0063178977,0.030872062,0.421,0.579,0.421,0.2364,False,Cd9
Neural Stem Cells,-0.0027948353,0.021158218,0.439,0.561,0.439,0.25481818181818183,False,Cd9
GABAergic Neurons,-0.0009905851,0.019486723,0.501,0.499,0.499,0.27516666666666667,False,Cd9
