,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.01413442,0.011387236,0.896,0.104,0.104,0.104,False,Cers2
Oligodendrocytes,-0.009939913,0.0097417645,0.141,0.859,0.141,0.1225,False,Cers2
Myocytes,0.014612844,0.01878813,0.769,0.231,0.231,0.15866666666666665,False,Cers2
Neurons,0.009471783,0.013797499,0.757,0.243,0.243,0.17975,False,Cers2
Neural Stem Cells,0.009010528,0.021355113,0.661,0.339,0.339,0.2116,False,Cers2
Excitatory Neurons,0.005050937,0.012459588,0.654,0.346,0.346,0.23399999999999999,False,Cers2
Astrocytes,0.0046505225,0.0163208,0.637,0.363,0.363,0.2524285714285714,False,Cers2
Medium Spiny Neurons,0.0026165622,0.009586864,0.624,0.376,0.376,0.267875,False,Cers2
Endothelial Cells,-0.00805235,0.03090007,0.4,0.6,0.4,0.2825555555555555,False,Cers2
Endocrine Cells,-0.0069168075,0.027912632,0.413,0.587,0.413,0.2956,False,Cers2
Microglia,-9.557288e-05,0.018163452,0.487,0.513,0.487,0.31299999999999994,False,Cers2
GABAergic Neurons,-0.00055153604,0.019515757,0.505,0.495,0.495,0.32816666666666666,False,Cers2
